group,any_search_results,session_length
a,True,214.0
b,True,17.0
b,False,0.0
b,True,126.0
a,True,40.0
b,True,0.0
b,True,0.0
a,True,266.0
a,True,34.0
a,True,379.0
a,True,464.0
b,False,0.0
b,True,0.0
b,False,0.0
a,True,593.0
a,True,253.0
b,False,25.0
b,True,0.0
b,True,0.0
a,True,32.0
a,True,92.0
b,True,0.0
a,True,59.0
b,True,549.0
a,True,428.0
b,True,0.0
a,True,8.0
a,True,366.0
b,True,18.0
b,True,0.0
a,True,274.0
b,True,14.0
b,True,0.0
b,True,35.0
b,True,25.0
b,False,0.0
b,True,0.0
b,True,426.0
a,True,617.0
b,True,0.0
b,True,363.0
a,True,801.0
b,True,0.0
a,True,83.0
b,True,0.0
b,False,0.0
b,True,1397.0
b,True,112.0
b,True,0.0
a,True,786.0
b,False,0.0
a,True,7.0
b,True,0.0
a,True,152.0
b,False,0.0
b,True,0.0
a,True,57.0
b,True,0.0
b,True,0.0
b,True,0.0
b,False,0.0
b,True,0.0
a,True,18.0
a,True,57.0
b,True,366.0
b,True,0.0
b,True,0.0
b,True,0.0
a,False,76.0
a,True,133.0
b,True,25.0
a,True,29.0
a,True,6.0
a,True,227.0
a,True,55.0
a,True,29.0
b,False,0.0
a,True,384.0
b,True,162.0
a,True,373.0
b,False,0.0
b,True,0.0
b,True,0.0
a,True,37.0
a,True,477.0
b,True,0.0
a,True,14.0
b,False,0.0
b,True,0.0
b,True,0.0
b,False,0.0
b,True,0.0
b,True,0.0
b,False,0.0
a,True,574.0
a,True,1190.0
b,True,66.0
b,True,0.0
b,True,0.0
a,True,324.0
a,True,68.0
a,True,51.0
a,True,53.0
a,True,132.0
a,True,18.0
a,True,21.0
b,True,9.0
a,True,162.0
b,True,0.0
b,True,0.0
b,True,0.0
b,True,0.0
b,True,22.0
b,True,0.0
a,True,59.0
b,True,0.0
a,True,212.0
a,True,20.0
a,True,601.0
b,True,12.0
a,True,52.0
b,True,0.0
a,True,371.0
b,False,0.0
a,True,29.0
b,True,0.0
a,True,7.0
a,True,478.0
b,True,41.0
a,True,127.0
b,True,0.0
b,False,0.0
b,True,5.0
b,True,0.0
a,True,186.0
b,True,27.0
b,True,0.0
b,True,446.0
b,True,441.0
a,True,97.0
a,True,21.0
b,True,0.0
a,True,75.0
a,False,18.0
a,True,9.0
a,True,24.0
a,False,82.0
a,True,492.0
b,True,41.0
a,True,100.0
b,True,0.0
b,True,4.0
b,True,0.0
a,True,224.0
a,True,4.0
b,True,51.0
b,True,373.0
b,True,282.0
b,True,0.0
b,True,554.0
a,True,269.0
b,True,424.0
b,True,0.0
b,False,0.0
a,True,263.0
b,True,0.0
b,True,423.0
b,True,64.0
b,True,422.0
a,True,238.0
b,True,0.0
b,True,163.0
a,True,437.0
a,True,122.0
a,True,82.0
b,True,0.0
b,True,0.0
b,True,0.0
b,True,17.0
b,True,16.0
b,True,82.0
b,True,3.0
a,True,70.0
a,True,78.0
b,True,0.0
a,True,166.0
a,True,18.0
a,True,160.0
a,True,15.0
a,True,839.0
a,True,50.0
b,True,0.0
a,True,178.0
b,True,432.0
a,True,312.0
a,True,423.0
a,True,48.0
b,True,0.0
b,False,0.0
a,True,86.0
b,True,0.0
a,True,500.0
b,True,9.0
a,True,15.0
a,True,54.0
b,True,3.0
b,True,0.0
a,True,29.0
b,True,0.0
a,True,22.0
b,True,0.0
b,True,15.0
b,True,2.0
a,False,34.0
b,False,0.0
b,True,11.0
b,True,0.0
a,False,41.0
a,True,5.0
a,True,232.0
b,True,0.0
b,True,0.0
a,True,4.0
a,True,1.0
b,True,0.0
a,True,136.0
b,True,0.0
b,True,6.0
b,True,0.0
b,False,0.0
a,True,18.0
b,True,0.0
a,False,9.0
b,True,0.0
b,True,137.0
a,True,415.0
b,True,0.0
a,True,49.0
a,True,476.0
a,True,485.0
b,True,46.0
a,True,15.0
b,True,38.0
b,True,15.0
a,True,548.0
a,True,824.0
b,False,19.0
a,True,19.0
a,True,382.0
b,True,0.0
a,True,446.0
a,True,17.0
a,True,199.0
b,True,0.0
b,True,0.0
b,True,0.0
b,True,0.0
b,True,431.0
b,True,0.0
b,True,0.0
b,True,5.0
b,False,0.0
b,True,0.0
b,True,0.0
b,False,53.0
b,False,0.0
a,True,439.0
a,True,24.0
a,False,21.0
a,True,10.0
a,True,426.0
b,True,0.0
b,True,0.0
a,False,193.0
a,True,32.0
